Title,Date,Author,Content
"Perez, The Ohio voter roll purge case and what it means","June 11, 2018",Eric Jackson - ,                    What the Ohio voter roll purge case meansby Tom PerezToday a 5-4 conservative majority on the Supreme Court ruled that Ohio can purge people...                
Martinelli will be back shortly,"June 9, 2018",Eric Jackson - ,                    State Department upholds Martinelli extraditionby Eric JacksonWarning that Martinelli suffers from certain chronic ailments and basing its action on four of the pending criminal...                
A Panagringo Memorial Day,"May 29, 2018",Eric Jackson - ,"                    A Panagringo Memorial Daystory and photos by Eric JacksonThe lifestyle excludes waking to car alarms -- or to alarm clocks. Yes, there is hip...                "
"Bernal, The payrolls","May 19, 2018",Eric Jackson - ,"                    Payrolls: The set-up is the storyby Miguel Antonio BernalLittle by little, the montage of payrolls puts the citizen and reality face-to-face. There can be...                "
Construction strike settled,"May 18, 2018",Eric Jackson - ,"                    SUNTRACS and CAPAC settle on modest raises phased in over four yearsbreaking, by Eric JacksonAgainst the backdrop of a difficult economy in the construction...                "
Stronger penalties for animal cruelty go into effect,"May 3, 2018",Eric Jackson - ,"                    Animal cruelty can now lead to jail timeby Eric JacksonAs of May 2, Law 70 of 2017 went into effect. This was an amendment...                "
Editorials: No exile governments here; and Ford and the USA,"April 27, 2018",Eric Jackson - ,                    We should not allow a Venezuelan exile court herePanama has been a place to which people flee from dreadful condition in other lands all...                
¿Wappin? Aztlán y sus vecinos,"April 20, 2018",Eric Jackson - ,                    Aztlán y sus vecinos (quienes DT no desea)Zoé - Aztlán https://youtu.be/OPiIGq-6V24Cannibal & The Headhunters - Land Of 1000 Dances https://youtu.be/VZFzKZyyQK0Ritchie Valens - La Bamba...                
"WHO, New international advice on the dengue vaccine","April 20, 2018",Eric Jackson - ,                    Revised SAGE recommendation on use of dengue vaccineby the World Health Organization (WHO)WHO published the recommendations of the Strategic Advisory Group of Experts on...                
"Castro, What has changed in Cuba?","April 19, 2018",Eric Jackson - ,"                    Same old, same old...by Manuel CastroI invite you to read the Articles 5, 39, 53, and 62 of the Constitution of the Republic of...                "
"Editorials, The Venes and Panama","April 10, 2018",Eric Jackson - ,"                    Bad counsel from CaracasAntonio Ledezma, the former anti-Chavista mayor of metro Caracas, got on Twitter to react to Nicolás Maduro's 90-day suspension of Copa...                "
Editorials: Netanyahu and Trump want war; and Election fraud underway here,"April 2, 2018",Eric Jackson - ,                    [youtube https://www.youtube.com/watch?v=Nqm5Z3MXdJo]A Palestinian protester shot dead. It had nothing to do with a threat to the life of the Israeli soldier who shot himnor...                
"The Panama News blog links, March 1, 2018","March 1, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=72sXLjwFqL4]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
The Panama Papers: a chapter in the upcoming book “The Streetwalkers of Panama”,"February 21, 2018",Eric Jackson - ,"                    The Panama PapersOnce upon a time the Wars of the Reformation raged across the Caribbean Sea, with the Protestant English and Dutch off and...                "
"AHMNP, Progreso por medio pasos","February 19, 2018",Eric Jackson - ,                     ~ ~ ~Estos anuncios son interactivos. Toque en ellos para seguir a las páginas de web                 
US Jewish groups: Stephen Miller should not be in the White House,"February 12, 2018",Eric Jackson - ,"                     Jewish groups' letter to the White House: Stephen Miller must be removedby 17 US Jewish organizationsFebruary 8, 2018General John F. Kelly White House Chief...                "
"The Panama News blog links, February 6, 2018","February 6, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=1ghxckWVzkI]Otis Taylor, who will be playing at this year's Boquete Jazz and Blues FestivalThe Panama News blog linksa Panama-centric selection of other people's...                "
"Former CSS medicine lab chief released from sentence, not so her ex-boss","February 2, 2018",Eric Jackson - ,"                    Linda Thomas's sentence voided, but not René Luciani'sby Eric JacksonIn general, first-time offenders who receive prison sentences of four years or less can buy...                "
High levels of antibiotic resistance found worldwide,"January 29, 2018",Eric Jackson - ,"                    High levels of antibiotic resistancefound worldwide, new data showby the World Health Organization (WHO)WHO's first release of surveillance data on antibiotic resistance reveals high...                "
The Union Church and its context,"January 25, 2018",Eric Jackson - ,"                    An Interview with Rev. Clarence C. PaynePastor, Balboa Union Church, 1964-1969 and 1986-1990photo and interview from the Balboa Union Church archivesThe following is an...                "
"The Panama News blog links, January 21, 2018","January 21, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=TO5zPbf0SJw]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
"The Panama News blog links, January 5, 2018","January 5, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=yBEaNY8cbyI]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
"The Panama News blog links, December 29, 2017","December 29, 2017",Eric Jackson - ,                    [youtube https://www.youtube.com/watch?v=txBn_MF6SC0] Calypso for this publication's 23rd birthday and its editor's 65thThe Panama News blog linksa Panama-centric selection of other people's work una selección...                
"The Panama News blog links, December 15, 2017","December 15, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=TGEE4_Wdlbo]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
Trump counts on identity theft in campaign to end net neutrality,"December 14, 2017",Eric Jackson - ,"                    Corporate Interests are warping the Internetby Mark Luskus -- OtherWords""Someone submitted millions of fake comments against the open Internet using stolen identities -- including...                "
Battle for control of Cambio Democratico,"December 10, 2017",Eric Jackson - ,"                            Corporate lawyer, former minister of canal affairs, partysecretary general and presidential hopefulRómulo Roux on the campaign trail.Photo from his...                "
"The Panama New blog links, November 27, 2017","November 27, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=oPMzAp-E5ao]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
Juega vivo: one player’s career,"November 22, 2017",Eric Jackson - ,"                    Jorge Espino pleaded guilty, even if defense counsel, the judge and the prosecutors didn't want you to know thatby Eric JacksonOnce upon a time,...                "
Flag Day: an alternative notion of independence is born,"November 4, 2017",Eric Jackson - ,"                    Flag Day, when Panama started to be a country of its ownby Eric JacksonIntellectually lazy journalists and policy makers from the north, and the...                "
"The Panama News blog links, October 30, 2077","October 30, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=eDoAx69QwiY]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
Control of El Siglo and La Estrella goes to men with PRD and banking...,"October 23, 2017",Eric Jackson - ,"                    Control of GESE goes to PRD figuresby Eric JacksonIn mid-August the US government's drug money laundering case against the Wakeds collapsed. Yes, the Colombian...                "
Bees in the city,"October 21, 2017",Eric Jackson - ,"                    Bees living in cities often have to seek out green space like parks, ravines and gardens. Green roofs could offer them some habitat. (Shutterstock)Bees...                "
Editorials: The end of paradigms; and Red Tide in Red Square,"October 13, 2017",Eric Jackson - ,                    Paradigms coming to an end?The post-Cold War promise of globalization that would deliver prosperity for all was not kept in the Latin America of...                
How The Panama News works on four platforms,"October 10, 2017",Eric Jackson - ,"                    How The Panama News works these daysby Eric JacksonFor more than a decade and a half, the content that goes into the various parts...                "
Coming to grips with 1989,"October 8, 2017",Eric Jackson - ,"                    1989: a suppressed discussion reopenedphoto by Eric JacksonWith all the journalism and all the hype, can it really be said that the story of...                "
"The Panama News blog links, October 6, 2017","October 6, 2017",Eric Jackson - ,                    [youtube https://www.youtube.com/watch?v=fAq9e5lW2Mo]This has been a year for Panamanian composers writing songs that other people turn into hits. The brothersRicardo and Alberto Gaitán were co-authors...                
"FRENADESO, La Gallera y la narcopolítica","October 4, 2017",Eric Jackson - ,"                    La Gallera y la Narcopolíticapor FRENADESOEl sonado caso de ""El Gallero"" ha puesto a flote la penetración de la mafia del narcotráfico en los...                "
"The Panama News blog links, September 23, 2017","September 23, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=wYK-B6aQQOA]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
"Gandásegui, La corrupción y las elites políticas","September 21, 2017",Eric Jackson - ,"                    La corrupción y las elites políticaspor Marco A. Gandásegui, hijoLos gobiernos (o regímenes) se tambalean por causas internas. A menudo estas son abanicadas por...                "
US immigration and race relations: 350 groups oppose HR 3697,"September 14, 2017",Eric Jackson - ,"                    An open letter about a purported gang member deportation billSeptember 12, 2017United States House of RepresentativesWashington, D.C. 20515RE: Vote NO on the Criminal Alien...                "
Jimmy Papadimitriu jailed over Odebrecht case,"September 12, 2017",Eric Jackson - ,"                    Jimmy Papadimitriu, a prominent political operative in both the USA and Panama, jailed here on bribery suspicionsby Eric JacksonIs he the first American to...                "
"Obama, America and Dreamers","September 5, 2017",Eric Jackson - ,"                    America and the Dreamersby former US President Barack Obama, from his Facebook pageImmigration can be a controversial topic. We all want safe, secure borders...                "
"The Panama News blog links, August 30, 2017","August 30, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=7SaxSBnr8Rk]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
Is Ryan Kelly’s iconic photograph an American ‘Guernica’?,"August 20, 2017",Eric Jackson - ,"                    Is Ryan Kelly's iconic photograph an American 'Guernica'?by Jennifer Wenzel -- The ConversationOn August 12, Charlottesville Daily Progress photographer Ryan M. Kelly captured the...                "
"The Panama News blog links, August 16, 2017","August 16, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=N-WKyA1f4Iw]The Panama News blog linksa Panama-centric selection of other people's work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
"Benson & Pickard, The new media oligarchs","August 11, 2017",Eric Jackson - ,"                    The slippery slope of the oligarchy media modelby Rodney Benson & Victor Pickard -- The ConversationOn July 28, Apple heiress Laurene Powell Jobs bought...                "
"The Panama News blog links, July 6, 2017","July 6, 2017",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=JNMQfU9uzyg]The Panama News blog linksa Panama-centric selection of other people’s work una selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation...                "
"Certo, A bipartisan vote against war","July 5, 2017",Eric Jackson - ,                    A bipartisan vote to put the brakes on warby Peter CertoOne of the few things I recall fondly about the Trump campaign -- a...                
STRI: dos nuevas especies de bagre de mar,"July 5, 2017",Eric Jackson - ,"                    Identificadas dos nuevas especies de bagre de marpor el Instituto Smithsonian de Investigaciones Tropicales (STRI)Un grupo de científicos de Panamá, Colombia, Brasil y Puerto...                "
"Background links: Trump, Putin, hackers and the Russian mob","June 5, 2017",Eric Jackson - ,"                    Background links: Trump, Putin, hackers and the Russian mobcompiled by Eric JacksonThe editor can be a hardcore doofus, one of the least computer-literate website...                "
"Editorial, Manuel Antonio Noriega","May 30, 2017",Eric Jackson - ,"                    Manuel Antonio NoriegaOnce a general who ruled Panama, Manuel Antonio Noriega has crossed the Rainbow Bridge. His death at Santo Tomas Hospital, after surgery...                "
Dr. Margaret Chan’s last address to a World Health Assembly,"May 22, 2017",Eric Jackson - ,"                    Address to the 70th World Health Assemblyby Dr. Margaret ChanMadame President, Excellencies, honorable ministers, ambassadors, distinguished delegates, friends and colleagues, ladies and gentlemen,I thank...                "
"The Panama News blog links, May 16, 2017","May 16, 2017",Eric Jackson - ,                    [youtube https://www.youtube.com/watch?v=kJQP7kiw5Fk]A co-author of this hit song is Panamanian musician and composer Erika EnderThe Panama News blog linksa Panama-centric selection of other people's work...                
Panama given a huge Odebrecht information windfall,"May 8, 2017",Eric Jackson - ,"                    Swiss hand copies of Odebrecht's bribe records to Panamaby Eric Jackson, from other mediaSwiss prosecutors have sent four copies of a six-terabyte file, said...                "
Sorting through the legislature’s last-minute logjam,"May 5, 2017",Eric Jackson - ,                    What did the deputies do in their end-of session rush?by Eric JacksonWHAT? You actually TRUST the legislature to do the right thing? Isn't that...                
