,Title,Type/Region,Date,Author,Content
10,Health Group Retracts Report on H.I.V. in Greece,Europe,"Nov. 27, 2013",None,The World Health Organization blamed an editing error for a widely reported claim that many Greeks infect themselves to get benefit payments.
11,Cuba ends mother-to-child HIV and syphillis transmission,Multimedia/Photos,"July 1, 2015",None,The World Health Orgnization says Cuba has become the first country in the world to end the transmission of HIV and syphillis from mothers to children. Diane Hodges reports.
12,HIV in the Mountain Kingdom,Opinion,"June 28, 2012",By JORDAN SCHERMERHORN,"Jordan Schermerhorn, winner of the 2012 win a trip contest, writes about HIV treatment in Lesotho, the so-called Mountain Kingdom."
13,"Gene Variation May Raise Risk of H.I.V., Study Finds",Science,"July 17, 2008",None,"A genetic variation could account for 11 percent of the caseload of H.I.V. in Africa, explaining why the disease is more common there than expected, researchers say."
14,Scientists Urge New Look at Feeding in AIDS Fight,Health,"Feb. 27, 2007",None,Four new studies conducted in Africa showed that there could be significant dangers for infants who were formula-fed to prevent exposure to H.I.V. through breast milk.
15,"Circumcision Reduces Risk of AIDS, Study Finds",Health,"Dec. 13, 2006",None,"AIDS experts immediately hailed the result of the study by the National Institutes of Health, saying it gave the world a new way to fight the spread of AIDS."
16,Branding Doctors with HIV,Opinion,"Jan. 2, 1991",By Bruce G. Gellin and David E. Rogers,"AIDS remains a dreadful, and to date, universally fatal infection. People are very afraid of AIDS -- and they should be. 

Science has vastly increased our knowledge of AIDS and given us exquisitely accurate tests with which to detect the presence of HIV infection. The wide use of the HIV antibody test not only assures us of a safe blood supply, but enables us to treat patients even before symptoms surface. However, because of the stigma so tenaciously associated with this infection, the HIV test has become a double-edged sword. Cruel discrimination rides on the back of the blade."
17,Women And H.I.V.,Health; Books,"July 6, 2004",None,''A Woman's Guide to Living with H.
18,February 19-25: Olympian Blood; Debate about HIV Tests Sparked by Diver with AIDS,Week in Review,"Feb. 26, 1995",None,"Greg Louganis, who won four Olympic gold medals in diving, has announced that he has AIDS."
19,New H.I.V. Test Lets Officials Reach Out to the Street,Health; U.S.,"Dec. 16, 2004",None,"Once a week in the shadow of City Hall, a leaf blower blasts air into tubes, lifting up a big bright yellow tent."
20,Smart Approach to H.I.V.,Health; Books,"Dec. 9, 2003",None,''The First Year -- H.
21,Spouse Visits For Inmates With HIV,New York and Region,"Aug. 5, 1991",None,"In a major policy reversal intended to encourage thousands of prisoners to have themselves tested for AIDS, New York State will allow inmates who test positive for the AIDS virus, HIV, to participate in a program allowing them to have overnight visits with their spouses."
22,McCain Stumbles on H.I.V. Prevention,U.S.,"March 16, 2007",None,"SOMEWHERE in NORTHERN IOWA -- The unthinkable has happened. Senator John McCain met a question, while sitting with reporters on his bus as it rumbled through Iowa today, that he couldn't - or perhaps wouldn't - answer."
23,How Far We’ve Come,T Brand,"Nov. 8, 2016",None,"With enough access to medicine and preventative services, experts predict that we can stop HIV transmission in Sub-Saharan Africa by 2030."
24,Tracking the Spread of HIV,Africa,"May 30, 2007",None,"A U.N. report indicates that the number of people infected with H.I.V. may have stabilized globally since the 1990s, but the disease is still proliferating in several individual countries."
25,Study Sees Moves on HIV Infection Backfiring,Science; Health,"Sept. 10, 1991",None,"FAR from encouraging HIV-infected health care workers to come forward, new Federal guidelines and proposed practice limitations will drive those infected with the virus that causes AIDS to hide their condition, a new survey suggests."
26,Tracking the Spread of HIV,Health,"May 31, 2006",None,"A U.N. report indicates that the number of people infected with H.I.V. may have stabilized globally since the 1990s, but the disease is still proliferating in several individual countries."
27,Unresolved HIV Debate: Should Addicts Get Free Needles?,New York and Region,"April 27, 1997",None,"Diana McCague recalls many scenes from her days passing out needles on the streets of New Jersey, the laughs she received when first setting up on a corner, the sudden press for her services that followed with each passing day."
28,Major Study Set Of HIV Infection,Science; Health,"Sept. 25, 1990",None,"LEAD: Federal health officials will collaborate with several hundred physicians in the United States and Canada on a major study of the progression of the human immunodeficiency virus, or HIV, which causes AIDS."
29,Leagues Remain Cautious On Conducting HIV Tests,Sports,"Nov. 9, 1991",None,"In the wake of Magic Johnson's announcement that he has the AIDS virus and was retiring as a player, the National Basketball Association yesterday appeared ready to step up its program on providing information on the disease to its players."
30,"20+, HIV+",Magazine,"April 17, 1994",None,"POSITIVE. After we tested positive, we became kleptomaniacs. Traveled across the country, shoplifted $1,500 worth of books from B. Dalton and Waldenbooks and other Kmart-owned chains. As if now that the figure of Death loomed larger, an electronic skeleton in a suit and tie, rattling his scythe over our bed, there was nothing we wanted more than to curl up in a living room chair for the rest of our lives, reading. Instead of letting go, we became acquisitive, stealing all the things we'd never owned: a blender, toaster, coffee grinder, new shoes, black baggy Levis. . . . Ours was a typical American response to the threat of death, the loss of meaning, collapse. Microcosm of America in the 80's? Waste piling up, plastic doohickeys, last week's fashion, useless things and objects and stuff, food byproducts, junk you don't know what it is. Who needs all this stuff, really? We started stealing vitamins instead: megadoses of vitamin C, co-enzyme Q-10, beta-carotene, blue-green algae, every nutritional supplement that somebody somewhere has claimed is helpful for H.I.V. infection. A thousand micrograms of B12 a day, garlic extracts, Chinese herbs, we'll try anything. We've never felt healthier, more energized. We only know we're sick because anonymous lab technicians said it was true, but we're virtually vibrating. You can recognize us by that spirulina glow.

No, it wasn't exactly ""The Living End."" Nice premise -- two attractive, H.I.V.-positive queer boys run amok, rob banks, shoot bigots -- but a truly awful film, and we had no desire to live it out. Tennessee Williams is a little more our style, sultry melodrama with plenty of whisky and broken dishes. I did wind up in jail for a couple of hours in Des Moines, where I grew up, after getting greedy at the Valley West Mall -- I'd never owned a $65 pair of pants in my life, why start now? -- but was bailed out by my brother's band. My boyfriend nervously waited at the Record Den, stuck without transportation among all those white people in some esthetic wasteland. Let me play the role of gay esthete, the horrified queen. . . . Oh, honey, that civilization has got to go. Post-modern homo boys, what a range of styles to choose from. Angry queers were in vogue for a while, but that's over, right? We're dignified now, soldierly, the boys and girls next door. Still, I get testy: I've been promised the end of the world since I was a kid; it's my Christian apocalyptic heritage, and I'm hoping I won't be disappointed. Please, everything burst. NOTHING TO LOSE. Actually, that's a blatant lie. We've probably got years ahead of us without any symptoms, and by that time, so we're told, AIDS will have easily developed into a chronic, manageable disease. More treatments every day. A hopeful new class of drugs, including curcumin, found in the spice turmeric. In the meantime there are alternative therapies, Chinese medicine, acupuncture, psychic surgeons. We put this photographic chemical called DNCB on our skin to stimulate the immune system, leaving splotchy red circles on our bodies. I'm planning to participate in a Santeria ceremony soon, to get possessed by Omo-Olu (also known as Babalu-Aye), god of plagues and their cure, master of time and death. Wear white, head uncovered, the drums thump, thump, thump, a temporary loss of individual consciousness as my body's mounted by a force sweeping through the quivering throng. . . . Snakelike, undulating. . . .

Meanwhile, we're advised to reduce our stress, keep holding on, meditate, creatively visualize healing. H.I.V. infection is in no way, at this point, the same thing as a death sentence. How it functions in our imaginations is a different story. We've been expected to die for so long that we believe it ourselves, and live accordingly. We dream about airplanes crashing, rotting trees, architecture in flames. We want to kiss serpents and explode into fragments in one final, glorious moment.

GENERATION X. Like everything else, we either are or aren't a myth, depending on whose statistics you choose. We're called the ""second wave"" -- young gay men still seroconverting at an impressive rate. Seroconversion: sort of sounds like a weird religious ritual, doesn't it? Are you going to the seroconversion tomorrow night in the basement of the abandoned church? Be sure to wear black. What we lose in peace of mind, we gain in credibility at Act Up meetings. At this point, let's face it, we're the least innocent of ""victims"" -- we have no excuse, the barrage of safe sex information, the free condoms, blah blah blah. . . . Well, rubbers break. (Use two or three.) Maybe oral sex without ejaculation isn't as safe as you thought. Maybe the antibodies take more than six months to show up in your bloodstream, so your negative test is no guarantee. The answer? Celibacy, of course. Masturbation, maybe, but be sure to wear rubber gloves. Fantasy. But we, the second wave, we obviously aren't sublimating very well. Maybe the image of death, a dark, sexy man in black, is something we find exciting. That's death as metaphor, of course, not sickness and putrefaction.

STAR WARS. Our bodies, Jonathan's and mine, are slowly being undermined. His is only 23 years old and covered by a silky golden skin. Maybe you know what it's like to be so in love with a handsome, dying young man because you've seen it on TV. You had to dab the moisture from your eyes with a Kleenex, sniffle, blow your nose. It isn't like that at all. It isn't a cathartic moment of tragedy, a mediated shorthand for grief. Here, in our lives, it is always happening. There are textures, smells, fevers. There are days when we don't even remember that it's there, we're so wrapped up in the real tragedy, which is not in our dying, but in our living: applying for ridiculous jobs, filling out forms, selling books to buy food, stealing vitamins. Shoplifting is hard work; so is applying for food stamps, and every pathetic moron of a boss with a part-time temporary position licking out toilet bowls wants a resume, two interviews, work experience and a college degree. It's really getting us down. We are sad so often.

We lie together in the late afternoon. Jonathan's pale, brown chest, my creamy arms. Other than this, not much is going well. He's even more expendable than I am, because his skin's more brown. 

We aren't members of the General Population. I've never met the General Population, but I assume they're all white heterosexuals with money, who don't shoot speed. Here in my life, I hear it from friends and acquaintances (the non-General Population? the Specific Populations?) all the time: the idea that somebody's already got the cure, that AIDS is a syndrome devised by evil scientists. There's something eugenic in the air, something genocidal. Accusations are thrown about -- that Native Americans are being infected through hepatitis vaccine on reservations, C.I.A. experiments in the 70's, ties to swine fever. Paranoia mutates into new strains as quickly as the virus itself. The simple fact is: we are dying, and this makes a lot of people happy.
I THINK ABOUT DEATH. We've attended these workshops on how to stay healthy with H.I.V., my boyfriend and I, and the main thesis I've come away with is one of preservation. Nothing excessive, no stress, a soothing daily ritual without drugs or coffee or angry pulsing rap music. Just stay cool, and keep existing. In the hope, I suppose, that a cure will be found and we'll be able to go back to our old ways, the tension that is the source of most of our pleasure. So I've been thinking about this a lot. At what point do I want to give it up, burn myself up in a final burst, pursuing some kind of transcendence or ecstasy?

You can choose your model of death, utter blackness, a subtle merging with that oft-posited Oneness of the Universe, the long tunnel and the white light, a fuzzy warm space in between incarnations or maybe a simple Nothing. Whichever model you choose, or if you alternate between several, if you seriously think about death it has to affect your behavior. Exactly how is something I can't quite put my finger on, not even for myself. But the idea makes me feel freer. It may be a cliche, but it's true. I don't believe that the world will end. And if it did? What might be interesting, what might be liberating, is to pretend that it's ending. An excuse to further destroy the environment? We've already reduced ""nature"" and ""the environment"" to a few enclaves, cordoned off, for people who can afford it to visit. How about thinking of the environment as every space we inhabit, right now? Pollution is about degrading this moment as much as it's about degrading the future. At least, imagining that the end had finally come, we'd maybe figure out, when the house is on fire, what we think is worth saving. And what we think should be completely razed.
PROPAGANDA. I get busted shoplifting again, some vitamin C, some E, some garlic extract. The only irritating thing is the self-righteous security guard, convinced that everyone who steals is on drugs. He thinks I'm selling the vitamins on the street to buy heroin or speed.

Afterward we wait for the bus, my lover and I, arms full of information about H.I.V. At the bus stop, a poster educates us about gay-bashings: FOUR TEENS STAB GAY MAN ON VAN NESS. It relates the details of the crime, the man's horror, the escape without punishment by the perpetrators. This is not an education I want for myself or anyone else. Gays as victims, easy targets, pathetic and abused. I don't want heterosexuals to feel sorry for me, I don't want anyone's pity. When I die I want to unleash something into the environment, some sort of energy, an explosion. Of freedom? Revolt? The concept's still kind of abstract, but I'm working on it. Maybe what's needed is a lesson -- to institutions, religions, medical bureaucracy -- How to Die, preferably with a certain sense of style. I want to smash those bus stop posters. If somebody's trying to do me a favor, put up some posters that say: BASHERS ATTEMPT TO BEAT UP GAY MAN. HE SHOOTS THEM. THEY'RE DEAD NOW.
IN RETROSPECT, A BLUR. What am I saying? That we should promote destruction, if not for political reasons, because it's fun? But in the meantime, build a better health care system? Apocalypse is good? Death makes us free? Twentysomethings are poised to wreak havoc on the world? I feel this essay disintegrating, losing its focus. At least in this way, it too can serve as metaphor. For my body? Our culture? So dispersed that only death or apocalypse can give it back a sense of unity? My life, our history, now that it's over, it's clear enough, there always was a point and that was it. To end.

But the world won't end, even though I might like it to, fireworks to amuse me on my deathbed. No, nothing should end, things should multiply, fluctuate, proceed in a sly, continuous mutation. Snakelike, undulating. Shedding the skin when its time is over, just like that."
31,Patents; A blood cell therapy is designed to act as a decoy to lure HIV away from the immune cells it kills.,Technology; Business,"Aug. 30, 1993",None,"MEDICAL researchers around the world are racing to develop new treatments for AIDS, hoping to find a cure or vaccine."
32,Fake Letters Warn of Positive H.I.V. Results,New York and Region,"March 20, 2004",None,"Imagine receiving a letter from a renowned hospital, telling you that one of your sexual partners has tested positive for H."
33,"Amid Tabloid Reports, Charlie Sheen Plans ‘Revealing Personal Announcement’",Television,"Nov. 17, 2015",None,The troubled television star will appear on the “Today” show Tuesday after reports that he is HIV-positive.
34,"Study Finds 80,000 Women May Carry HIV",U.S.,"April 3, 1991",None,"Up to 80,000 women in the United States of child-bearing age may be infected with the virus that causes AIDS, a new study concludes."
35,Metro Matters; 2 Projects Assist Those Who Test HIV-Positive,New York and Region,"Dec. 3, 1990",None,"Leo Downey is a 34-year-old Boston native, Navy veteran of the Vietnam War, and ex-convict who worked as a tile installer and as a bouncer."
36,HIV-Positive Pharmacist Fights Job Limits,Health; New York and Region,"Aug. 19, 1991",None,"He is not a surgeon, not a dentist, not a nurse."
37,"Is Truvada, the Pill to Prevent H.I.V., 99 Percent Effective? Don’t Be So Sure",The Upshot,"July 16, 2014",None,"Experts disagree about using such a high and specific estimate for the level of protection, even as they celebrate the drug’s promise."
38,White House Marks World AIDS Day,U.S.,"Dec. 1, 2009",None,"A stunning, large red AIDS ribbon adorns the North Portico of the White House in advance of World AIDS Day on Tuesday."
39,Campus Life: Washington; Policy Would Put Limits On Students With HIV,Health; New York and Region,"July 7, 1991",None,"The department of health sciences at the University of Washington is considering a policy to exclude students carrying HIV, the human immunodeficiency virus that causes AIDS, from performing certain types of invasive procedures."
40,Mrs. Bush's Remarks on AIDS,Health,"June 2, 2006",None,
41,The View from Here,T Brand,"Dec. 1, 2016",None,"Despite poverty and an AIDS epidemic, South Africa’s art scene thrives."
42,World's Second Man Cleared of AIDS Virus Invigorates Quest for Cure,Europe,March 6,None,"Scientific investigation into the world's second man cleared of the AIDS virus is zooming in on a gene and a treatment side-effect, as newly-enthused researchers strive to find a cure for the disease that has killed millions.  "
43,A Skin Care Purchase That Benefits More Than Your Face ,Media & Advertising,"Dec. 24, 2013",None,"For six weeks, Kiehl&#8217;s is donating all the net profits from the sale of its Midnight Recovery Concentrate to the Keep a Child Alive organization."
44,Selected Studies: Meningitis,Health Guide,"Feb. 13, 2009",None,"Government agencies, universities, doctors and corporations frequently enroll patients in studies designed to test the effectiveness of new drugs, procedures and medical devices."
45,Ghost Generation,Opinion,"Nov. 26, 2008",By BEN SCHOTT,The generation of south-east Africans lost to HIV/AIDS.
46,"Sex and Drugs Decline Among Teens, but Depression and Suicidal Thoughts Grow",Health,"June 15, 2018",None,The C.D.C.’s biannual survey of U.S. high school students also showed increases in bullying and declines in condom use.
47,F.D.A. to Weigh At-Home Testing For AIDS Virus,Front Page; Health; U.S.,"Oct. 13, 2005",None,"Federal drug regulators have agreed to consider allowing a Pennsylvania company to sell the first rapid, at-home AIDS test that would make testing for the virus about as easy and accessible as a pregnancy screen."
48,New Illinois Law Permits Organ Donors With H.I.V.,U.S.,"July 16, 2004",None,Gov.
49,Turing Pharma to roll back price of HIV drug,Multimedia/Photos,"Sept. 23, 2015",None,A drug maker bows under pressure to cut prices after an initial price hike. Lisa Bernhard reports.
50,Travel Deals: Miami's White Party Week,Travel,"Nov. 2, 2009",None,"To celebrate the 25th anniversary of Miami's White Party Week, a gay circuit party that bills itself as ""one of the world's oldest and largest HIV/AIDS fundraisers,"" several hotels are offering special rates during the six-day event, which starts Nov. 25."
51,South Africa’s Zuma Answers His Critics,,"Jan. 24, 2008",None,"Jacob Zuma, newly-elected head of South Africa’s ruling African National Congress, took time Thursday to address one of the many lingering controversies related to his attitude towards HIV/AIDS."
52,The Challenges That Remain for L.G.B.T. People After Marriage Ruling,U.S.,"July 1, 2016",None,L.G.B.T. leaders reflect on the obstacles the community still faces one year after same-sex marriage was legalized.
53,Learning From Soap Operas,Opinion,"June 4, 2010",By C&#201;SAR CHELALA,"Soap operas appeal across a broad spectrum, from the most intellectually sophisticated to people with little or no formal education."
54,Travel Deals: Miami's White Party Week,Travel,"Nov. 8, 2009",None,"To celebrate the 25th anniversary of Miami's White Party, a gay circuit party that bills itself as ''one of the world's oldest and largest HIV/AIDS fund-raisers,'' several hotels are offering special rates during the six-day event, which starts Nov."
55,Travel Deals: Miami&#8217;s White Party Week,Travel,"Nov. 2, 2009",None,"To celebrate the 25th anniversary of Miami&#8217;s White Party Week, several hotels are offering special rates during the six-day event."
56,Four Stars for a Tough-Talking Campaign,Business,"Jan. 16, 2007",None,Editor's Note: In Advertising comes to you today because of the Dr.
57,Effort Against Killer Diseases Is Imperiled in Myanmar,World,"Feb. 22, 2012",None,"In a new report from Doctors Without Borders, the head of the group's mission in Myanmar says: ""Yet again, donors have turned their backs'' on people living there with HIV, AIDS, malaria and tuberculosis."
58,Must See: Compelling Web Sites,Multimedia/Photos,"July 20, 2009",None,"Struggles around the world &#8212; Congo, Cambodia, South L.A. and Fall River, Mass. &#8212; are the subject of this week&#8217;s Web site choices."
59,Must See: Compelling Web Sites,Multimedia,"July 20, 2009",None,"""Sexual violence is a devastating weapon in the war-torn North Kivu province of the Democratic Republic of Congo,"" The Sydney Morning Herald reports."
60,Effort Against Killer Diseases Is Imperiled in Myanmar,,"Feb. 22, 2012",None,"In a new report from Doctors Without Borders, the head of the group's mission in Myanmar says: ""Yet again, donors have turned their backs'' on people living there with HIV, AIDS, malaria and tuberculosis."
61,Four Stars for a Tough-Talking Campaign,Media,"Jan. 16, 2007",None,A provocative public service campaign intended to help halt the spread of HIV is drawing attention because of who is delivering the message as well as for the frank nature of what they have to say.
62,JULY 12-18: Appeal Planned; Nurse Who Contracted HIV Wins $5.4 Million Judgment,Week in Review,"July 19, 1992",None,"There is no dispute that an agitated prisoner with AIDS started thrashing at a medical team one morning in August 1988 at a Utica, N."
63,A New Approach to Biofuel in Africa,Science,"July 12, 2010",None,"The biofuel concept: If you just burn plant materials, you put out a lot of bad pollutants."
64,Sex in This City,Opinion,"June 26, 2012",By DAYO OLOPADE,"Women in Nairobi are having more casual sex, a sign of female empowerment. Too bad Kenya's policies about sexual health aren't keeping pace with mores."
65,H.I.V.-Positive: Inside the Mind Game,New York and Region,"March 3, 1996",None,"Barbara Williams prepared a particularly sumptuous feast last Thanksgiving Day -- turkey and roast beef, three kinds of pie -- and invited her five sisters from Brooklyn and their children."
66,Kofi Annan's Remarks on AIDS,Health,"June 2, 2006",None,
67,Must See: Videos Worth Watching,Great Homes and Destinations Multimedia,"Oct. 2, 2009",None,"From tainted drinking water to foster care, this week&#8217;s videos explore despair, hope and movement."
68,Must See: Videos Worth Watching,Multimedia,"Oct. 2, 2009",None,
69,The Giving Spree | Doutzen Kroes,T:Style,"Dec. 23, 2011",None,The Giving Spree continues with more gifts to give and get from T's friends and family.
70,Scientists Explore Ways to Lure Viruses to Their Death,Science,"March 27, 2007",None,Researchers are trying to create a cellular trap for viruses. 
71,The Giving Spree | Doutzen Kroes,T:Style,"Dec. 23, 2011",None,Who: The model Doutzen Kroes
72,Long Island Hospital Warns of Possibly Contaminated Syringe,N.Y. / Region,"March 12, 2014",None,A hospital on Long Island said patients may have received insulin from a syringe reservoir that could have been used more than once.
73,Newswallah: Bharat Edition,Asia Pacific,"July 21, 2012",None,A round-up of news from across India.
74,Democratic Debate at Howard U.,U.S.,"June 29, 2007",None,Senator Chris Dodd is not Paris Hilton. Tavis Smiley is not Alex Trebek. And both Michelle and Senator Barack Obama are HIV-free.
75,Emily Oster's Research on AIDS,Business Day,"Jan. 9, 2007",None,
76,Answers About Gay Youth in New York,N.Y. / Region,"July 1, 2010",None,"Taking Questions: This week, Kai Wright, an author and journalist, will be responding to readers&#8217; questions about the future lesbian, gay, bisexual and transgender population and the challenges it faces."
77,‘The Invisible Cure’,First Chapters,"July 29, 2007",None,"“Like many newcomers to Africa, I learned early on that the most successful AIDS projects tended to be conceived and run by . . . people who really knew the culture. ”"
78,Answers About Gay Youth in New York,N.Y. / Region,"June 30, 2010",None,"Following is the first set of responses from Kai Wright, the author of ""Drifting Toward Love: Black, Brown, Gay and Coming of Age on the Streets of New York"" (Beacon Press, January 2008), who is responding to readers' questions about gay youth in New York City; the challenges they face; and the future lesbian, gay, bisexual and transgender community they are creating."
79,Emily Oster's Research on AIDS,Business,"Jan. 9, 2007",None,"In her research on AIDS, Emily Oster has come up with three main conclusions: One, as I described in this week's column, is that better-off, healthy Africans practice safer sex more than they once did -- much as Americans do."
80,When Prabal Met Maggie,,"April 20, 2011",None,"There’s no disputing the socialite bona fides of Maggie Betts, the daughter of the film producer and Chelsea Piers developer Roland Betts and a fixture of Gotham’s party scene."
81,The Breadbasket of South Korea: Madagascar,,"Nov. 26, 2008",None,"Tim Ogden, the editor in chief of Philanthropy Action, a journal for high net worth donors, flagged an article in Time, noting:"
82,An Artful Homage to Roller Disco,T Magazine,"Nov. 9, 2015",None,"Mark Bradford’s “Deimos” was created using wheels from the roller skates Hauser & Wirth inherited from the Roxy, a previous tenant of its building."
83,The Roman Empire and AIDS,Week in Review,"Sept. 4, 2008",None,Health | And you thought the Barbarians were the bane of civilization: French researchers say the spread of the Roman Empire could have left European countries more vulnerable to HIV.
84,Solutions or Impossibilities?  HIV Prevention for African Children,U.S.,"Aug. 19, 1998",None,Note: This lesson was originally published on an older version of The Learning Network; the link to the related Times article will take you to a page on the old site.
85,Solutions or Impossibilities?  HIV Prevention for African Children,Education,"Aug. 19, 1998",None,Students analyze maps for clues as to why children and mothers in both urban and rural areas of Africa may not be able to fight HIV the same way as those in wealthier countries could.
86,"Barton Lidice Benes, Provocative Artist, Dies at 69",Art & Design,"June 19, 2012",None,"Mr. Benes, a New York sculptor who worked in materials that he called artifacts of everyday life, was acclaimed for confronting the toll of the AIDS epidemic."
87,AIDS Documentary May Become ABC Miniseries,Arts,"Feb. 28, 2013",None,“How to Survive a Plague” was nominated for an Academy Award for best documentary feature.
88,Finding a Home in the Bronx After Fleeing Anti-Gay Violence in Haiti,N.Y. / Region,"Dec. 1, 2016",None,"Wilkenson Joseph came to the United States after enduring attacks because of his sexuality. Unable to work without a new visa, he found himself on the streets."
89,&#x2018;How to Survive a Plague&#x2019; May Become Dramatic Mini-Series,Movies; Arts,"March 1, 2013",None,"The acclaimed documentary “How to Survive a Plague,” about the genesis of the AIDS epidemic, could become a television miniseries."
90,2d Home Test for H.I.V. Is Approved,Home and Garden; Style,"July 25, 1996",None,"A new test for the AIDS virus that can be taken at home went on sale nationwide today, two days after gaining approval by the Food and Drug Administration."
91,The Lazarus Effect,Opinion,"April 19, 2011",None,The “miraculous” effect of antiretroviral drugs on Africans suffering from AIDS.
92,Race Rears Its Head as New York City Council Elects New Leader,New York,"Jan. 4, 2018",None,"Councilman Corey Johnson, a white man, was elected City Council speaker, and questions about race and power remain."
93,Shifting Focus in H.I.V. Fight,Multimedia/Photos,"Nov. 30, 2014",None,Activists warn against complacency in fighting H.I.V. in South Africa and are trying to focus on preventing the spread of the virus.
94,VaxGEn and Raven Scrap Merger Plans,Business Day,"March 31, 2008",None,"VaxGen, after failing to make an effective HIV vaccine and losing its $877.5 million federal contract to make an anthrax vaccine, said Friday its last-ditch effort to save itself through a merger has foundered and its days may be numbered."
95,A Click on Booking Serves a Good Cause,Travel,"March 14, 2010",None,"Book a flight, save a life."
96,Asian Group Targets AIDS,New York and Region,"April 20, 1997",None,"There are more than 500,000 people of Asian descent in the city and Asians are the fastest-growing immigrant group."
97,U.N. Chief Says World Is Losing Battle With AIDS,Health,"June 2, 2006",None,"The dark tone of Kofi Annan's remarks diverged markedly from the upbeat speeches by Laura Bush, the first lady."
98,"Biden v. Giuliani, Another Round",U.S.,"Nov. 1, 2007",None,"While you were out trick-or-treating last night, the great Biden-Giuliani debate of 2007 continued apace."
99,AIDS Group Opposes Frieden for C.D.C.,N.Y. / Region,"Jan. 28, 2009",None,"Updated, 7:02 p."
100,Your Comments,Opinion,"June 25, 2007",None,I had some time tonight to respond to comments. Here are some of the topics addressed:
101,A Wrenching AIDS Tale Spanning Two Continents,N.Y. / Region,"Jan. 21, 2007",None,"""In the Continuum"" cleverly mirrors a story from Africa with that of one taking place in South Central Los Angeles."
102,Memory Books,Opinion,"Aug. 27, 2009",By BEN SCHOTT,Books filled with photos and details of a family's history.
103,The Question of Circumcision and H.I.V.,N.Y./Region,"April 5, 2007",None,"The New York City health commissioner's decision to encourage men at high risk of contracting HIV to get circumcised has drawn an array of reactions today, including a note of caution from Mayor Michael R. Bloomberg."
104,"Livestock Antibiotics, Alzheimer's Care and Detox Diets",Health,"March 25, 2009",None,Health news from around the Web.
105,Is Congress Partly to Blame for D.C.'s AIDS Crisis?,Opinion,"Nov. 27, 2007",By THE EDITORIAL BOARD,AIDS cases are increasing in the nation's capital and Congress may be partly to blame.
106,Genentech Helps Tanox Breathe Easy with $919 Million Deal,Business Day,"Nov. 10, 2006",None,"Tanox, the Houston based company best known for its breakthrough asthma drug, has said it has agreed to be acquired by Genentech for $919 million."
107,The Pope’s Words on Condoms,Europe,"Nov. 23, 2010",None,"Excerpted from “Light of the World: The Pope, The Church and The Signs Of The Times,” an interview with Pope Benedict XVI and Peter Seewald."
108,Ukraine Will Not Allow Adoption Proposed by Elton John,Arts,"Sept. 14, 2009",None,"The government of Ukraine said Monday that Elton John cannot adopt a child from that country because he is too old and is not married, The Associated Press reported."
109,"Review: In ‘1985,’ a Young Man Hides a Plague From His Family",Movies,"Oct. 25, 2018",None,"The film is a moving cinematic sketch of a HIV-infected, closeted gay man living through the height of the AIDS crisis."
