,Title,Type/Region,Date,Author,Content
10,"Louisiana teen prisoner raped by inmate and infected with HIV, lawsuit alleges",Nation & World,2018-01-30T12:04:00CST,Michael Kunzelman,"A 17-year-old inmate who was incarcerated with adults was raped by a prisoner who infected the teenager with HIV, according to a federal lawsuit that accuses the Louisiana jail of negligence. The lawsuit, filed Monday, also accuses East Baton Rouge Parish Sheriff Sid Gautreaux and two deputies..."
11,Grindr says it will stop sharing users' HIV data with third-party firms amid backlash,Technology,2018-04-03T13:21:00CDT,Kristine Phillips,"Grindr, a popular dating app for gay men, said it will stop sharing users' HIV data with third-party companies that analyze mobile and Web apps. The decision comes after BuzzFeed reported Monday that Grindr, used by 3.6 million daily active users worldwide, has been providing users' HIV status..."
12,Trump administration fires all members of HIV/AIDS advisory council,Nation & World,2017-12-29T14:09:00CST,Ben Guarino,"The remaining members of the Presidential Advisory Council on HIV/AIDS were fired en masse this week. Months after a half-dozen members resigned in protest of the Trump administration's position on health policies, the White House dismissed the rest through a form letter. The notice ""thanked me..."
13,"Experts concerned that HIV, AIDS may be poised for a comeback",Health,2017-10-27T08:40:00CDT,Alan Mozes,"The advent of powerful drugs in the mid-1990s brought remarkable gains in survival for HIV patients who had access to the medications. But a team of experts now warns that the global HIV pandemic continues and is at risk of expanding, given the worrisome global rise of HIV resistance to antiretroviral..."
14,"Another victim of yearlong budget stalemate: HIV testing, prevention",Breaking News,2016-07-04T12:51:00CDT,Duaa Eldeib,"Under normal circumstances, Jeffery Erdman would be encouraged by the drop in the number of people testing positive for HIV. Instead, the decrease is another emblem of the damage wrought by Illinois' historic budget stalemate — damage that in some cases can't be reversed by the eleventh-hour budget..."
15,"Ruth M. Rothstein CORE Center Celebrates 20 Years of Remarkable Success in HIV/AIDS Prevention, Care and Research",Post-Tribune Community,2018-11-01T15:02:35CDT,Community Contributor caitlin.polochak,"The Ruth M. Rothstein CORE Center announced today a 20-year milestone for the clinic that focuses on the prevention, care and research of HIV/AIDS and other infectious diseases. The CORE Center was established as a partnership between the Cook County Health (CCH) and Rush University Medical Center...."
16,"About 15% of Americans with HIV don't know they're infected, CDC report says",Nation & World,2017-11-30T20:38:00CST,Melissa Healy,"Half of the Americans recently diagnosed with HIV had been living with the virus for at least three years without realizing it, missing out on opportunities for early treatment and in some cases spreading it to others, according to a new report by the Centers for Disease Control and Prevention...."
17,Knowingly infecting others with HIV is no longer a felony in California,Health,2017-10-10T09:10:00CDT,Eli Rosenberg,"California lawmakers have passed legislation to reduce the penalty for those who knowingly or intentionally expose others to HIV without their knowledge, rolling back a law that mostly affected sex workers. The bill, SB 239, which was approved by the Democrat-controlled state legislature in September..."
18,Living a full life with HIV,Post-Tribune News,2015-11-20T23:23:00CST,Nancy Coltun Webster,"In 1989, two years before Magic Johnson announced he was HIV-positive, a Northwest Indiana man got the same news. ""When (the doctor) told me I was positive, I thought he was joking,"" said the man, who contracted the virus through unprotected sex when he was in his 20s. But what may have felt like..."
19,Aetna accidentally exposed customer HIV statuses in clear envelope windows,Business,2017-08-25T08:48:00CDT,Samantha Schmidt,"Health insurance company Aetna ""stunned"" some of its customers last month when it accidentally made their HIV statuses visible from the outside of envelopes, two legal groups said Thursday. The letters, which contained information about changes in pharmacy benefits and access to HIV medications,..."
20,Aetna accidentally exposed customer HIV statuses in clear envelope windows,Business,2017-08-25T08:48:00CDT,Samantha Schmidt,"Health insurance company Aetna ""stunned"" some of its customers last month when it accidentally made their HIV statuses visible from the outside of envelopes, two legal groups said Thursday. The letters, which contained information about changes in pharmacy benefits and access to HIV medications,..."
21,Waukegan hosts project aimed at getting new HIV infections to 'functional zero',Lake County News,2018-01-24T14:43:00CST,Yadira Sanchez Olson,"Eliminating the HIV epidemic in Illinois might seem like a far-fetched goal, but a statewide project is aiming to do just that, with a five-year plan scheduled to roll out in 2019. Made up of advocates, government officials, service providers and people living with HIV, the Getting to Zero Project..."
22,Girl's HIV infection seems under control without AIDS drugs,Nation & World,2017-07-24T06:35:00CDT,Marilynn Marchione,"A South African girl born with the AIDS virus has kept her infection suppressed for more than eight years after stopping anti-HIV medicines — more evidence that early treatment can occasionally cause a long remission that, if it lasts, would be a form of cure.Her case was revealed Monday at an ..."
23,How doctors in Texas are trying to protect transgender patients from a persistent threat: HIV,Nation & World,2017-06-21T07:05:00CDT,Alexandra Zavis,"When the Kind Clinic began offering free or low-cost hormone therapy for transgender people in March, word spread quickly here. Within days, the service was booked up until the end of June. Now the next available appointment is in December. For the patients flocking to the clinic north of downtown..."
24,Tanzania suspends HIV/AIDS programs in new crackdown on gays,Nation & World,2016-11-23T21:31:00CST,Kevin Sieff,"East African nations have launched some of the world's most vicious campaigns against gay men and women, outlawing same-sex liaisons and threatening to punish these with years in jail. But in a move that has alarmed health workers, Tanzania is turning its anti-homosexual fury in a new direction..."
25,Love and HIV: Couples forge relationships despite challenges,Health,2010-11-30T19:22:00CST,"Deborah L. Shelton and Dahleen Glanton, Tribune reporters","Kathy Jacobs-McLoyd didn't expect to fall in love with someone with HIV. But when the man she had recently spent time volunteering with in Kenya sent her a six-page love letter, she opened up to the possibilities. ""One day early on, I turned to look at you or say something and my heart just kind..."
26,Wilmette personal trainer accused of knowingly transmitting HIV,News,2016-10-11T11:09:54CDT,William Lee,"A personal trainer from north suburban Wilmette was ordered held on $150,000 bail Saturday after authorities accused him of knowingly transmitting HIV to three women he dated.In court, Cook County prosecutors alleged that Jimmy Amutavi, 46, repeatedly had unprotected sex with all three women, but..."
27,"I had an HIV scare, even though I'm old enough to know better",Health,2017-01-06T13:54:00CST,Kevin Wood,"Early one Saturday last summer, I found myself sitting in a health clinic waiting for an emergency HIV test. There were eight men in the waiting room, all of whom looked to be in their 20s. We were there for the same reason - STD tests and PEP, a pill taken to prevent HIV infection. Youthful foolishness..."
28," Indiana HIV outbreak, hepatitis C epidemic sparks CDC alert ",Post-Tribune News,2015-04-24T13:03:00CDT,Tribune wire reports,"An Indiana county is experiencing nearly daily increases in new HIV infections tied to intravenous drug use, and health officials hope the situation prompts other states to closely track their hepatitis C and HIV rates to identify potential clusters of disease. Indiana state health officials said..."
29,AIDS foundation alleges Humana discriminates against Illinois HIV patients,Business,2016-09-08T13:21:00CDT,Lisa Schencker,"The AIDS Foundation of Chicago has filed a complaint against Humana with the federal government, alleging the insurer discriminates against Illinois HIV and AIDS patients on the Obamacare exchange by charging them too much for life-prolonging medications. The foundation, along with the Center for..."
30,Gov. Pence extends needle-exchange program to curb HIV,Post-Tribune News,2015-04-20T13:11:00CDT,Tribune wire reports,"Indiana Gov. Mike Pence has extended a needle-exchange program in a southern Indiana county to help combat an HIV outbreak. Pence on Monday approved a 30-day extension of a March 26 executive order declaring a public health emergency in Scott County, about 30 miles north of Louisville, Kentucky...."
31,"$208K grant aims to help Northwest Indiana residents get HIV test, treatment",Post-Tribune News,2017-06-23T21:29:00CDT,Gregory Tejeda,"Gary, along with East Chicago and Lake Station, have received a grant to help residents learn whether they have HIV and viral hepatitis and how to deal with the diseases. The Gary Common Council accepted the grant at its meeting June 20, but decided to delay votes on revising the city's towing..."
32,An HIV outbreak in Indiana,Editorials,2015-04-27T18:41:00CDT,Editorial Board,"Students can learn about the HIV/AIDS epidemic in their American history classes. But in Indiana, they don't have to read up on the 1980s to learn about how the deadly disease can spread. It qualifies as ""current events."" In the southern part of the state, there has been a frightening spate of..."
33, 10 arrested on drug charges tied to Indiana HIV outbreak ,Midwest,2016-02-05T19:47:00CST,Tribune news services,"Ten people were arrested Friday on charges alleging they distributed drugs that helped fuel the worst HIV outbreak in Indiana history, authorities said. They were indicted earlier in the week on charges that include conspiracy to distribute and distribution of a controlled substance, U.S. Attorney..."
34,Needle exchanges could stem HIV outbreak,Post-Tribune News,2015-04-15T20:47:00CDT,Christin Nance Lazerus,"An HIV outbreak in Scott County, Ind., has infected 106 people thus far, and despite reservations, Gov. Mike Pence green-lit a 30-day needle exchange program to stem the tide. But public health advocates say the exchange program should be extended to really make an impact and expanded across the..."
35,Charlie Sheen 's HIV disclosure had big online impact: Study ,Health,2016-02-22T10:37:00CST,Tribune news services,A new study looks at the public health impact of actor Charlie Sheen's disclosure that he has the virus that causes AIDS. It found that Sheen's revelation Nov. 17 prompted the greatest number of HIV-related Google searches recorded in the United States since 2004. More than 1 million of them involved...
36,Today is National Youth HIV & AIDS Awareness Day,Southtown Community,2018-04-10T09:13:19CDT,"Community Contributor Monifa Thomas, Cook County Health & Hospitals System","April 10th is National Youth HIV & AIDS Awareness Day, a day to call attention to the impact HIV/AIDS has had on young people in the United States. It is also a time to encourage young people to get educated on how they can prevent getting HIV and where they can go to get tested or get treatment..."
37,North Shore personal trainer pleads not guilty to knowingly passing on HIV,Breaking News,2016-12-21T05:30:00CST,Brian L. Cox,"A personal trainer from Wilmette pleaded not guilty in Cook County court Tuesday to charges he knowingly transmitted HIV to three women he dated. Prosecutors have said Jimmy Amutavi, 46, denied having the virus when he was charged in October with criminal transmission of HIV, though they allege..."
38,Gov. Pence to visit Indiana county with HIV outbreak,News,2015-03-25T10:32:00CDT,Tribune wire reports,"Gov. Mike Pence is to visit a southern Indiana county and meet with local officials about an HIV outbreak that Pence's office says ""has reached epidemic proportions."" Pence is scheduled to travel with state health commissioner Dr. Jerome Adams and state epidemiologist Pam Pontones to Scottsburg..."
39,2 wield needle allegedly contaminated with HIV to rob Naperville pharmacy: cops,Naperville Crime,2016-11-16T19:41:00CST,Bill Bird,"Naperville police are seeking help from the public in finding the man and woman who they said robbed a local pharmacy brandishing a syringe the couple claimed was contaminated with HIV, the virus that causes AIDS. The crime, which police have classified as an armed robbery, occurred at 5:57 a.m...."
40,Russia HIV infection rate rising as World Aids Day marked,Nation & World,2015-12-01T11:30:00CST,Tribune wire reports,"On a frigid evening on the outskirts of Moscow, two HIV-prevention activists unzip backpacks, pull out packs of hypodermic needles and start discretely approaching people leaving a nearby pharmacy with an offer that could save their lives. One man, cheeks sunken and behavior jittery, takes a plastic..."
41,Northwestern to open HIV research center at Center on Halsted,Breaking News,2015-04-22T23:54:00CDT,Paulina Firozi,"The first time Eric Amaya felt that he was accepted as part of a group was when he volunteered for a community center in the Belmont Cragin neighborhood. It was also the first place he was ever tested for HIV. ""I was extremely nervous,"" said Amaya, 22, who is gay. ""My heart was inside my throat.""..."
42,Indiana begins needle exchange in county with HIV outbreak ,News,2015-04-04T15:12:00CDT,Tribune wire reports,State and local health officials began a needle-exchange program Saturday in a southeastern Indiana county where an HIV outbreak among intravenous drug users has grown to nearly 90 cases. Scott County's needle-exchange program was created through an emergency executive order signed last week by...
43,Out-of-pocket costs put HIV prevention drug out of reach for many at risk,Health,2018-07-04T03:45:00CDT,Shefali Luthra and Anna Gorman,"Public health officials are expanding efforts to get the HIV prevention pill into the hands of those at risk, in a nationwide effort to curb infections. But the officials are hitting roadblocks the drug's price tag, which has surged in recent years, and changes in insurance coverage that put a..."
44,"24 new HIV cases reported in Indiana outbreak, 130 total",Breaking News,2015-04-17T09:52:00CDT,Tribune wire reports,"Indiana health officials say there are two dozen new HIV cases in southeastern Indiana, bringing the outbreak's total cases to 130. The Indiana State Department of Health said Friday there are now 120 confirmed HIV cases and 10 preliminary positive cases. That's up from 106 last week. Those infected..."
45,"The graying of HIV: Hurdles, hope for older adults",Health,2013-01-02T00:00:00-0800,"Karen Ann Cullotta, Special to the Tribune","Treatments and healthier lifestyles extending lives, but prevention education presents a challenge"
46,"Faced with HIV outbreak, Indiana lawmakers OK needle exchange programs ",Breaking News,2015-04-30T07:13:00CDT,Tribune wire reports,Lawmakers looking to prevent a repeat of an HIV outbreak that has rocked a southern Indiana county have sent Republican Gov. Mike Pence a measure that would allow communities to implement needle-exchange programs if they can prove they're in the midst of an epidemic tied to intravenous drug use....
47,"Yes, President Trump, there is a difference between HIV and HPV. Here's a handy tipsheet",Health,2018-05-21T08:16:00CDT,Karen Kaplan,"In the early days of his presidency, Donald Trump famously declared that “nobody knew that healthcare could be so complicated.” At the time, he was talking about health insurance. But perhaps he was also thinking about two potentially life-threatening viruses — HIV and HPV. In a video that came..."
48,An old new way to combat HIV ,Steve Chapman,2015-04-01T18:25:34CDT,Steve Chapman,"By signing a religious freedom bill that provoked a hail of criticism, Indiana Gov. Mike Pence did a brilliant job of diverting attention from something deserving of commendation. That same day, he took a wise step to contain an outbreak of HIV infections in Scott County.Since December, more than..."
49,HIV testing uncommon in teens despite recommendations: CDC ,Health,2016-01-19T12:31:00CST,Tribune wire reports,"Fewer than 1 in 4 high school students who've had sex have ever been tested for HIV, a troubling low rate that didn't budge over eight years, government researchers say. Young adults fared slightly better, although testing rates have declined in black women, a high-risk group. The Centers for Disease..."
50,Charlie Sheen's statement on HIV reveal: 'My partying days are behind me',Arts & Entertainment,2015-11-17T11:13:00CST,Tribune wire reports,"Charlie Sheen issued the following statement Tuesday. What follows is the complete, unedited letter: Roughly four years ago, I suddenly found myself in the throws of a seismic and debilitating three-day cluster-migraine like headache. I was emergently hospitalized with what I believed to be a brain..."
51,"As people with HIV live longer, aging presents challenges",News,2015-06-22T10:34:00CDT,Lolly Bowean,"It's been 30 years since Greg Sanchez was diagnosed with HIV, the human immunodeficiency virus that causes AIDS, and he keeps his more than two dozen bottles of pills and other medications on his wooden nightstand so he can get to them easily. But he takes only a single pill for HIV. The rest of..."
52,Martin Sheen praises son Charlie's courage for HIV-positive reveal,Arts & Entertainment,2015-11-18T11:28:00CST,Tribune wire reports,"""The West Wing"" actor Martin Sheen says he wishes he had the courage of his son Charlie Sheen, who has revealed he's HIV-positive. Sheen spoke Tuesday during an event at The Ritz-Carlton resort in Naples, Florida, hours after his son's appearance on NBC's ""Today."" According to the Naples Daily..."
53,Charlie Sheen reveals he's HIV positive on 'Today' show,Arts & Entertainment,2015-11-17T15:08:00CST,Tribune wire reports,"Charlie Sheen said his bad-boy days are over and, with Tuesday's declaration that he's HIV-positive, he aims to become an inspiration to others. ""My partying days are behind me,"" Sheen said in a letter posted online. ""My philanthropic days are ahead of me."" The manifesto was released as the former..."
54,"Indiana HIV outbreak, hepatitis C epidemic sparks nationwide CDC alert",Breaking News,2015-04-24T13:08:00CDT,Tribune wire reports,"An Indiana county is experiencing nearly daily increases in new HIV infections tied to intravenous drug use, and health officials hope the situation prompts other states to closely track their hepatitis C and HIV rates to identify potential clusters of disease. Indiana state health officials said..."
55,"Chicago records lowest number of new HIV diagnoses in 26 years, officials say",Breaking News,2017-12-01T07:35:00CST,Ese Olumhense,"Chicago recorded the lowest number of new HIV diagnoses in 26 years in 2016, public health officials say. In 2001, the city reported 1,850 HIV diagnoses, the highest number of cases recorded since 1990, when the city began keeping records on the virus. That number fell nearly 55 percent by 2016,..."
56,Charlie Sheen to reportedly announce he's HIV positive on 'Today' show,Arts & Entertainment,2015-11-16T14:31:00CST,Tribune wire reports,"According to multiple reports, Charlie Sheen will reveal that he is HIV positive on the ""Today"" show Tuesday morning. Sheen is set to make a ""revealing personal announcement"" on the ""Today"" show Tuesday morning, the NBC morning show announced in a Monday press release, stating that the ""Two and..."
57,FDA seeks to ban Chicago HIV doctor from research,Health,2010-06-14T18:06:00CDT,"Patricia Callahan, Tribune reporter","Regulators say his clinic submitted phony data, forms with forged signatures"
58, Indiana House panel passes needle exchange bill over HIV outbreak ,News,2015-03-30T14:04:00CDT,Tribune wire reports,A legislative panel has approved a measure that would allow high-risk counties to create needle exchange programs following an HIV outbreak in southern Indiana. Health officials say 81 people who either live in Scott County or have ties to it have tested positive for HIV. Indiana prohibits needle...
59, Pocket squares offer a future for children with HIV,Post-Tribune News,2015-06-25T19:22:00CDT,Leslie Bailey,"INDIANAPOLIS (AP) — Her name was Faith. She arrived at the hospital sick and malnourished. At 4 years old, the little girl in Kenya weighed 4 kilos, or roughly 9 pounds, the size of a newborn baby. She was the first patient Dr. Rachel Vreeman diagnosed with HIV. Two days later, she was dead. ""She..."
60,Smartphone accessory can detect HIV and syphilis,Home,2015-02-05T13:21:00CST,Robert Preidt,A smartphone accessory that can detect HIV and syphilis has been developed by Columbia University researchers. The low-cost device can spot markers of the infectious diseases from a finger prick of blood in 15 minutes. It's the first smartphone accessory that replicates all the functions of a laboratory-based...
61,FDA won't disqualify HIV doctor from drug studies,Health,2010-09-09T18:24:00CDT,"Patricia Callahan, Tribune reporter",Independent monitor will oversee doctor's research
62,"White, rural drug users lack needle exchange programs to prevent HIV infections",Nation & World,2016-11-29T15:26:00CST,Lena H. Sun,"Needle-sharing by opiate addicts is fueling an alarming rise in new HIV infections among injection drug users, and the United States doesn't have enough syringe programs in place to reduce that risk, according to a report released Tuesday. Although needle exchange programs have been politically..."
63,"Charlie Sheen sued by ex-fiancee for assault, not disclosing HIV status",Arts & Entertainment,2015-12-03T15:53:00CST,Tribune wire reports,"Charlie Sheen's former fiancee Scottine Ross has filed suit against the actor, claiming assault and battery, as well as emotional distress and negligence by not disclosing his HIV status when they first engaged in sexual relations in 2013. Sheen disclosed publicly on ""Today"" last month that he..."
64,"Appalachia gripped by Hepatitis C epidemic, bracing for HIV",Nation & World,2015-06-04T08:35:00CDT,Tribune wire reports,"Patton Couch shook his head and clenched his teeth, recounting the night four years ago when he plucked a dirty needle from a pile at a flophouse and jabbed it into his scarred arm. He knew the odds; most of the addicts in the room probably had hepatitis C. ""All I cared about was how soon and how..."
65,Indiana governor extends needle-exchange program to curb HIV,Nation & World,2015-04-20T16:56:00CDT,Tribune wire reports,"Indiana Gov. Mike Pence on Monday extended a needle exchange program in a rural, southern Indiana county to help combat an HIV outbreak, even though he generally opposes such programs. Pence approved the 30-day extension of a March 26 executive order that declared a public health emergency in Scott..."
66,Using Social Media to Learn How to Prevent the Spread of HIV,Southtown Community,2018-03-19T09:23:34CDT,"Community Contributor Monifa Thomas, Cook County Health & Hospitals System","Researchers from Cook County Health and Hospitals System (CCHHS) are using social media to try to get a better understanding of what factors tend to predict who gets infected with HIV, in order to potentially develop new HIV prevention strategies. Using ads and other social media on sites such..."
67,Girl who was declared 'functionally cured' of HIV now has active virus,News,2014-07-10T22:45:00CDT,Monte Morin,"A girl who was seemingly cured of HIV following aggressive drug therapy just hours after her birth was recently discovered to be infected with the virus that causes AIDS after all, doctors announced Thursday. The so-called Mississippi baby, now nearly 4 years old, had raised hopes of a potential..."
68,Indiana to declare public health emergency over HIV outbreak,News,2015-03-26T07:31:00CDT,Tribune wire reports,"Faced with a growing HIV outbreak tied to intravenous drug use, Indiana Gov. Mike Pence said Wednesday he's considering a needle-exchange program as part of a public health emergency he's preparing to declare in a county that's at the epicenter of the cases. Pence, a Republican, said he opposes..."
69,Rapper Mykki Blanco discloses she is HIV positive,Music,2015-06-15T11:36:00CDT,Tracy Swartz,"Mykki Blanco, an openly gay rapper and performance artist who has served as a LGBTQ advocate, announced this weekend she has been HIV positive since 2011. ""Ive been HIV Positive since 2011, my entire career. (expletive) stigma and hiding in the dark, this is my real life. I'm healthy I've toured..."
70,Rapper Mykki Blanco: I announced HIV diagnosis on whim,Arts & Entertainment,2015-10-13T10:51:00CDT,Tracy Swartz,"Rapper Mykki Blanco announced he was HIV positive this summer on an emotional whim, he told HIVPlus Magazine in an article posted online Monday. ""But I think afterwards, when Newsweek and Time magazine — who have never heard of me before — are writing about it, I'm like, 'Oh, wait, maybe it's been..."
71,A call to action: 1 in 2 black men who have sex with men projected to be diagnosed with HIV if current infection rates persist,Health,2018-06-07T11:20:00CDT,Nara Schoenberg,"At the Howard Brown Health clinic in Hyde Park, young black men who have sex with men are routinely diagnosed with HIV, the virus that causes AIDS. “In my practice, if I can get people safely through their 30s and potentially their 40s, that’s a success,” said the clinic’s medical director, Dr...."
72,4 men arrested on drug charges tied to Indiana HIV outbreak,Breaking News,2015-06-25T07:19:00CDT,Chicago Tribune staff,"Four people accused of distributing a painkiller linked to the largest HIV outbreak in Indiana history have been arrested, and more arrests are expected, according to local and federal authorities. Michael Elkins of Cartersville, Ga., was arrested June 16 in Clark County, a few miles north of Louisville,..."
73,Commissioners' attorney: Inmate HIV screening program not approved,Post-Tribune News,2017-03-31T21:17:00CDT,Carrie Napoleon,"A screening program for HIV and hepatitis C set to begin in April at the Lake County Jail and conducted in partnership with Indiana University did not get necessary approval from the Board of Commissioners, the board's attorney says. John Dull, commissioners' attorney, said in an email Friday the..."
74,"Dr. Pat M. Garcia, Perinatal HIV program director",Life & Style,2014-08-29T11:29:00CDT,None,"Dr. Pat Garcia started medical school in 1979, before HIV even had an official name. Over the last 30 years, Garcia's career has, to an effect, grown alongside the disease. As director of the Perinatal HIV Program at Northwestern Memorial Hospital, she has studied HIV's effect on pregnant women..."
75,Dance for Life still supports those affected by HIV/AIDS but is looking in new directions,Dance,2017-08-15T12:15:00CDT,Lauren Warnecke,"When Keith Elliott, Todd Kiech and Harriet Ross presented the first Dance for Life in June 1992, Chicago’s dance community was in crisis. Friends and colleagues were dying at alarming rates of a disease that no one fully understood. Dance for Life was an attempt to do something, to come together,..."
76,"Patient Zero, and other myths about HIV/AIDS",Commentary,2016-10-30T21:48:00CDT,Mary Sanchez,"Gaetan Dugas was a victim of more than just the AIDS virus. He was also blamed, posthumously, for propagating the epidemic. He was even given the moniker “Patient Zero.” Thanks to some scientific sleuthing, that rap has been laid to rest. Patient Zero never existed. In fact, Dugas' “zero” designation..."
77, Insurer lowers cost of HIV treatments after discrimination complaints,Breaking News,2015-03-27T18:07:00CDT,Wes Venteicher,"Coventry Health Care is lowering the cost of HIV and AIDS drugs after the insurer's prices — more than $1,000 per month on some plans sold in Illinois — drew complaints of discrimination from patient advocates. Advocates have said Coventry and other insurance companies set the costs high to deter..."
78,"New HIV vaccine trial, the first in years, to begin",Nation & World,2016-11-25T21:41:00CST,"Ryan Lenora Brown, Lenny Bernstein","After decades of shadowboxing with the human immunodeficiency virus, researchers were encouraged four years ago when a test of a vaccine on 16,000 people in Thailand turned up a previously unknown vulnerability in the resilient pathogen. The vaccine was only 31 percent effective and wore off over..."
79,Health Calendar: Fair to promote HIV awareness set for June 27,Lake County Lifestyles,2015-06-16T12:43:00CDT,News-Sun Staff,"Health screenings, events and support groups throughout the county. EVENTS DEMENTIA 102: BrightStar Care will present ""How Things Change"" at 1 p.m. June 24 at Park Place Senior Center, 414 S. Lewis Ave., Waukegan. This interactive program will help participants understand how dementia can change..."
80,Indiana Gov. Mike Pence signs needle-exchange bill as HIV outbreak cases grow,Nation & World,2015-05-05T17:35:00CDT,Tribune wire reports,"Indiana communities facing an HIV epidemic tied to intravenous drug use will have a way to implement needle-exchange programs under a measure Gov. Mike Pence signed into law Tuesday, as the number of confirmed cases in a rural outbreak grew to nearly 150. The new law allows areas that can prove..."
81,"In small study, aggressive HIV strain identified in Cuba ",Health,2015-02-14T20:32:00CST,Tribune wire reports,"A strain of HIV that progresses to full-blown AIDS within three years if left untreated has become “epidemic” among newly infected patients in Cuba who reported having unprotected sex with multiple partners, according to a study published this week by international researchers working with patients..."
82,"Health Calendar: Lake County offers free HIV counseling, testing",Lake County Lifestyles,2015-08-25T15:04:00CDT,News-Sun staff,"EVENTS MOBILE HEALTH: The Community Care Connection, a mobile health unit from Rosalind Franklin University, will offer free health screenings for blood pressure, blood sugar, cholesterol, body mass index and more at the following times and locations: 10 a.m. to 1 p.m. Sept. 1 at Park Place Senior..."
83,French teen's HIV in check 12 years after stopping treatment,Nation & World,2015-07-20T14:32:00CDT,Tribune wire reports,"An 18-year-old French teen born with the AIDS virus has had her infection under control and nearly undetectable despite stopping treatment 12 years ago — an unprecedented remission, doctors are reporting. The teen might have some form of natural resistance to HIV that hasn't yet been discovered...."
84,Pence's GOP successor in Ind. plans to roll back needle exchange limits in wake of HIV outbreak,Midwest,2017-01-06T07:10:00CST,Tribune news services,"Indiana's incoming governor pledged Thursday to roll back some restrictions on needle exchanges that his predecessor, Vice President-elect Mike Pence, signed into law as part of the state's response to its largest HIV epidemic. Republican Eric Holcomb, who takes office next week, said he believes..."
85,HIV infection risk especially high for teens ,Health,2013-01-02T00:00:00-0800,"Leslie Mann, Special to the Tribune","Lack of testing, education contribute to challenge, according to CDC report"
86,Southern Indiana county's HIV outbreak tops 100 cases ,Nation & World,2015-04-11T00:03:00CDT,Tribune wire reports,"More than 100 people in southeastern Indiana have tested positive for HIV in an outbreak linked to the sharing of intravenous needles, and officials said Friday they're trying to combat unfounded fears among drug users that they could be arrested if they take part in a needle-exchange program created..."
87," Angela McLaurin, health counselor, dies at 56",Obituaries,2016-05-19T15:29:00CDT,Graydon Megan,"Angela McLaurin was in prison in 1995 when she tested positive for HIV. ""She was thankful that they diagnosed it while she was there so she could get the help she needed,"" said the Rev. Doris Green, founder and CEO of Men & Women in Prison Ministries, where McLaurin worked as a counselor for a..."
